pdb	alpha_helical(%)	beta_strand(%)	coil(%)
5tyw	47.24	27.89	24.87
7jxm	47.24	27.89	24.87
6mit	47.24	27.89	24.88
4a98	47.23	27.89	24.88
5l3g	47.23	27.89	24.88
3m3z	47.23	27.89	24.88
4gmo	47.23	27.89	24.88
7dya	47.24	27.89	24.87
5huy	47.24	27.89	24.87
4m44	47.23	27.89	24.88
2wr5	47.22	27.89	24.88
3urz	47.23	27.89	24.88
8id0	47.23	27.89	24.88
3qup	47.22	27.89	24.88
7s09	47.23	27.89	24.88
7w74	47.23	27.89	24.88
5cxf	47.22	27.9	24.88
5d5z	47.22	27.9	24.88
3efj	47.22	27.9	24.88
4yy0	47.21	27.9	24.89
5lhg	47.21	27.9	24.89
1sbz	47.21	27.9	24.89
4xke	47.2	27.91	24.89
7coa	47.2	27.9	24.89
1s63	47.21	27.9	24.89
6zcr	47.2	27.9	24.89
3axy	47.21	27.9	24.89
4e4l	47.2	27.91	24.89
6dk7	47.2	27.91	24.89
2alw	47.2	27.91	24.89
6ffi	47.2	27.91	24.89
6vns	47.2	27.91	24.89
1unz	47.2	27.91	24.89
6ma5	47.2	27.91	24.89
1chu	47.2	27.91	24.89
3pzd	47.2	27.91	24.89
3l71	47.2	27.91	24.89
2w83	47.2	27.91	24.89
4zg8	47.2	27.91	24.89
8c2f	47.2	27.91	24.89
6a2a	47.2	27.91	24.89
5t1d	47.19	27.91	24.89
6n60	47.18	27.92	24.9
7buv	47.19	27.91	24.89
7ktm	47.19	27.91	24.89
3tt3	47.19	27.91	24.89
4gml	47.2	27.91	24.89
7o5s	47.2	27.91	24.89
1gqe	47.2	27.91	24.89
6q8x	47.2	27.91	24.89
7bwf	47.2	27.91	24.89
8t8z	47.2	27.91	24.89
4ama	47.2	27.91	24.89
4std	47.2	27.91	24.89
5etz	47.2	27.91	24.89
7ep7	47.2	27.91	24.89
7xz4	47.2	27.91	24.89
2qtf	47.2	27.91	24.89
2g5o	47.2	27.91	24.89
1dgs	47.2	27.91	24.89
3buw	47.2	27.91	24.89
2xvd	47.2	27.91	24.89
8ow3	47.2	27.91	24.89
3fc3	47.2	27.91	24.89
4tuz	47.2	27.91	24.89
7zmw	47.2	27.91	24.89
4a3i	47.19	27.92	24.9
3mmc	47.18	27.92	24.9
2hn2	47.18	27.92	24.9
3du2	47.18	27.92	24.9
6tg0	47.18	27.92	24.9
7jmm	47.18	27.92	24.9
7oue	47.18	27.92	24.9
5u8h	47.18	27.92	24.9
3dsy	47.18	27.92	24.9
3hx0	47.18	27.92	24.9
5hcy	47.18	27.92	24.9
5j31	47.18	27.92	24.9
6bas	47.19	27.92	24.9
6s63	47.19	27.92	24.9
3e5u	47.18	27.92	24.9
5l3b	47.18	27.92	24.9
4di4	47.19	27.92	24.9
4nqz	47.18	27.92	24.9
2e80	47.18	27.92	24.9
6rrj	47.17	27.92	24.9
3txq	47.18	27.92	24.9
5z0s	47.18	27.92	24.9
5ch6	47.18	27.92	24.9
7bxp	47.18	27.92	24.9
2oar	47.18	27.92	24.9
4ogq	47.18	27.92	24.9
3q6u	47.18	27.92	24.9
7od5	47.18	27.92	24.9
8ouv	47.18	27.92	24.9
8aqc	47.18	27.92	24.9
6cce	47.17	27.93	24.9
6suo	47.17	27.93	24.9
4g86	47.17	27.93	24.9
6ict	47.17	27.93	24.9
2epm	47.17	27.93	24.9
7qcf	47.17	27.93	24.9
1xg2	47.17	27.93	24.9
6zma	47.17	27.93	24.9
6uol	47.17	27.93	24.9
2ja5	47.16	27.93	24.91
3rjk	47.16	27.93	24.91
3hai	47.16	27.93	24.9
6ah6	47.17	27.93	24.9
5u9d	47.17	27.93	24.9
1fp3	47.17	27.93	24.9
1ii8	47.17	27.93	24.9
8ok7	47.17	27.93	24.9
5vez	47.17	27.93	24.9
5y04	47.17	27.93	24.9
4ayw	47.17	27.93	24.9
6r1m	47.17	27.93	24.9
4n5b	47.17	27.93	24.9
8s5r	47.18	27.93	24.9
4do9	47.18	27.93	24.9
3gen	47.17	27.93	24.9
4kbl	47.17	27.93	24.9
5ck0	47.17	27.93	24.9
2ozn	47.17	27.93	24.9
6xjp	47.17	27.93	24.9
5ux1	47.18	27.92	24.9
6c3r	47.18	27.92	24.9
6bru	47.17	27.92	24.9
6bcr	47.18	27.92	24.9
6yu2	47.18	27.92	24.9
1v4j	47.19	27.92	24.9
3u8p	47.18	27.92	24.9
5jpz	47.19	27.92	24.9
7o07	47.19	27.92	24.9
3ccu	47.17	27.93	24.9
3zip	47.17	27.92	24.9
6g6l	47.18	27.92	24.9
5cm6	47.18	27.92	24.9
7pf8	47.18	27.92	24.9
2pmr	47.18	27.92	24.9
6g6b	47.18	27.92	24.9
5edp	47.18	27.92	24.9
2v2s	47.18	27.92	24.9
1xvg	47.18	27.92	24.9
7t1h	47.18	27.92	24.9
2vko	47.18	27.92	24.9
4fo6	47.18	27.92	24.9
6vnc	47.18	27.92	24.9
1mty	47.19	27.92	24.9
4u4c	47.19	27.92	24.9
4kpf	47.19	27.92	24.9
5apy	47.19	27.92	24.9
7xqz	47.19	27.92	24.9
5to8	47.19	27.92	24.9
1glm	47.19	27.92	24.9
5zvm	47.19	27.91	24.9
5xgh	47.19	27.92	24.9
1c8s	47.19	27.92	24.9
1afd	47.19	27.92	24.9
5tgv	47.18	27.92	24.9
5imu	47.18	27.92	24.9
2qv6	47.18	27.92	24.9
6c93	47.18	27.92	24.9
4ain	47.19	27.92	24.9
2c74	47.19	27.91	24.9
5dm6	47.17	27.92	24.9
4pas	47.17	27.92	24.9
3kxx	47.17	27.92	24.91
3uxn	47.17	27.92	24.91
4hmr	47.17	27.92	24.91
8rcc	47.17	27.93	24.91
8qks	47.16	27.93	24.91
3la3	47.16	27.93	24.91
4bwe	47.17	27.92	24.91
5omp	47.17	27.92	24.91
8udt	47.16	27.93	24.91
7uys	47.16	27.93	24.91
5n72	47.16	27.93	24.91
8fln	47.16	27.93	24.91
7n8j	47.16	27.92	24.91
5f9f	47.16	27.93	24.91
8hv6	47.16	27.93	24.91
7rmx	47.16	27.93	24.91
6rfa	47.16	27.93	24.91
5to7	47.17	27.93	24.91
1r6n	47.16	27.93	24.91
3mpx	47.17	27.93	24.91
5nmo	47.17	27.93	24.91
1nbp	47.17	27.93	24.91
3sdv	47.17	27.93	24.91
8abx	47.17	27.92	24.91
2qiz	47.17	27.92	24.9
3q2q	47.17	27.92	24.9
6yvy	47.17	27.92	24.9
3him	47.17	27.92	24.9
6ula	47.17	27.92	24.91
6lcn	47.17	27.92	24.91
8j9m	47.17	27.92	24.91
6iv0	47.18	27.92	24.9
7m4f	47.18	27.92	24.9
3lt7	47.18	27.92	24.9
6jjj	47.18	27.92	24.9
4r61	47.18	27.92	24.9
5aei	47.18	27.92	24.9
4x0j	47.19	27.91	24.9
6pwg	47.18	27.91	24.9
2hw3	47.18	27.91	24.9
5ohz	47.18	27.91	24.9
4zlz	47.18	27.91	24.9
5t76	47.18	27.91	24.9
6ey0	47.18	27.92	24.9
2p58	47.18	27.91	24.9
7opb	47.18	27.92	24.9
5a8j	47.18	27.92	24.9
1fz1	47.18	27.91	24.9
5vzf	47.18	27.91	24.9
3ktd	47.18	27.91	24.9
5chx	47.18	27.91	24.9
3owo	47.18	27.91	24.9
1ryt	47.18	27.91	24.9
5qsq	47.19	27.91	24.9
6nlj	47.2	27.91	24.9
6q58	47.2	27.9	24.9
5msk	47.21	27.9	24.89
6ssi	47.2	27.9	24.9
5ikn	47.19	27.91	24.9
2cfz	47.18	27.91	24.9
5odr	47.18	27.91	24.91
5nps	47.18	27.91	24.91
4jq5	47.18	27.91	24.9
1pcr	47.18	27.91	24.9
1zy7	47.18	27.91	24.91
7aqx	47.18	27.91	24.91
6aft	47.19	27.91	24.91
7q86	47.19	27.91	24.9
2bni	47.19	27.9	24.9
2h94	47.19	27.91	24.9
8qtf	47.2	27.9	24.9
4jpp	47.21	27.89	24.9
5mfg	47.21	27.89	24.89
3clx	47.21	27.89	24.89
4ehg	47.21	27.89	24.89
6jyd	47.21	27.89	24.89
6vnb	47.21	27.89	24.89
4uvc	47.21	27.89	24.89
3dxq	47.21	27.89	24.89
6rf9	47.21	27.89	24.89
6hp7	47.22	27.89	24.89
6fzw	47.21	27.89	24.9
5cj0	47.21	27.89	24.9
3sgh	47.21	27.89	24.9
5sxi	47.21	27.9	24.9
5tl9	47.21	27.89	24.9
5afq	47.21	27.89	24.89
7q1g	47.21	27.89	24.89
6uxu	47.21	27.89	24.89
4iud	47.21	27.89	24.9
7wag	47.21	27.89	24.89
4xg9	47.21	27.89	24.9
3m51	47.21	27.89	24.89
8v42	47.21	27.89	24.9
1xvf	47.22	27.89	24.89
5y5s	47.22	27.89	24.89
3k5m	47.22	27.89	24.9
1nwq	47.22	27.89	24.89
2elb	47.22	27.89	24.89
5f7w	47.22	27.89	24.9
3ayg	47.22	27.89	24.89
5vn9	47.22	27.88	24.89
5xl8	47.22	27.89	24.9
6o76	47.21	27.89	24.9
6x45	47.22	27.89	24.9
4ml6	47.21	27.89	24.9
4iea	47.21	27.89	24.9
7eas	47.21	27.89	24.9
4y12	47.21	27.89	24.9
3q98	47.21	27.89	24.9
3bvh	47.21	27.89	24.9
3rrh	47.21	27.89	24.9
6zsh	47.21	27.89	24.9
8tcv	47.21	27.89	24.9
5h3q	47.21	27.89	24.9
7bgr	47.21	27.89	24.9
3k1s	47.22	27.88	24.9
4ytd	47.22	27.88	24.9
5unf	47.22	27.88	24.9
5gi4	47.22	27.88	24.9
6w1b	47.22	27.88	24.9
5xak	47.22	27.88	24.9
1y1w	47.21	27.89	24.9
6kdu	47.21	27.89	24.9
5f22	47.21	27.89	24.9
8f8y	47.21	27.89	24.9
1r5i	47.2	27.89	24.9
1scf	47.2	27.89	24.9
5b6w	47.2	27.89	24.9
6ur9	47.2	27.89	24.9
4zgx	47.21	27.89	24.9
6u76	47.21	27.89	24.9
2rdz	47.21	27.89	24.9
1brr	47.21	27.89	24.9
5u1t	47.22	27.89	24.9
8cl7	47.22	27.89	24.9
6czq	47.22	27.89	24.9
8e0m	47.23	27.88	24.89
7s9k	47.23	27.88	24.89
4u98	47.23	27.88	24.89
3s15	47.22	27.89	24.9
3nd2	47.22	27.88	24.9
7eh0	47.21	27.89	24.9
2r0m	47.21	27.89	24.9
6rlz	47.21	27.89	24.9
6y8a	47.21	27.88	24.9
5ic0	47.22	27.88	24.9
8c31	47.22	27.88	24.9
5ik6	47.22	27.88	24.9
4c8h	47.21	27.89	24.9
1qvn	47.22	27.88	24.9
3mkr	47.22	27.88	24.9
6i92	47.22	27.88	24.9
4ppb	47.22	27.88	24.9
1zqm	47.22	27.88	24.9
8a7h	47.22	27.88	24.9
4qkw	47.22	27.88	24.9
1qm8	47.22	27.88	24.9
7uc6	47.22	27.88	24.9
5tcx	47.22	27.88	24.9
2ah6	47.22	27.88	24.9
6zcp	47.22	27.88	24.9
3o0r	47.22	27.88	24.9
6fnh	47.22	27.88	24.9
6z0l	47.22	27.88	24.9
1dto	47.22	27.88	24.9
7eod	47.22	27.88	24.9
5ws4	47.22	27.88	24.9
2i06	47.22	27.88	24.9
4e9c	47.22	27.88	24.9
2d4y	47.22	27.88	24.9
6ob8	47.22	27.88	24.9
8qnh	47.22	27.88	24.9
4e61	47.22	27.88	24.9
2ahp	47.22	27.88	24.9
5u0h	47.22	27.88	24.9
5w53	47.22	27.88	24.9
1zrc	47.22	27.88	24.9
5tte	47.22	27.88	24.9
6l4o	47.22	27.88	24.9
4kpe	47.22	27.88	24.9
5x7v	47.22	27.88	24.9
5cf8	47.22	27.88	24.9
7fcr	47.22	27.88	24.9
1tyg	47.22	27.88	24.9
7ruu	47.22	27.88	24.9
5wfb	47.22	27.88	24.9
1wzz	47.22	27.88	24.9
4nlk	47.22	27.88	24.9
6ege	47.22	27.88	24.9
3gi8	47.22	27.88	24.9
3swf	47.22	27.88	24.9
2dkj	47.22	27.88	24.9
3x17	47.21	27.88	24.9
5xgn	47.21	27.89	24.9
2pex	47.21	27.89	24.9
5a9t	47.21	27.89	24.9
4io9	47.2	27.89	24.91
1qgi	47.2	27.89	24.91
3seo	47.2	27.89	24.91
8b21	47.21	27.89	24.9
4d4b	47.21	27.89	24.9
6e95	47.21	27.88	24.9
3ats	47.21	27.88	24.9
1u6h	47.21	27.88	24.9
5w3d	47.21	27.88	24.9
7q7l	47.21	27.88	24.9
4dk2	47.21	27.89	24.9
2gf2	47.21	27.89	24.91
6px0	47.21	27.88	24.9
3jrm	47.21	27.88	24.91
7oq9	47.21	27.88	24.91
6mi4	47.21	27.88	24.91
2eij	47.22	27.88	24.91
4i0b	47.22	27.88	24.91
5z91	47.22	27.88	24.91
7y62	47.22	27.88	24.91
3tpo	47.22	27.88	24.91
6tvr	47.21	27.88	24.91
6b0d	47.21	27.88	24.91
6zl1	47.21	27.88	24.91
8cav	47.21	27.88	24.91
7vpe	47.21	27.88	24.91
4r6v	47.21	27.88	24.91
6ixe	47.21	27.88	24.91
6k6j	47.21	27.87	24.91
4yln	47.19	27.89	24.92
5fv8	47.19	27.89	24.92
3usg	47.2	27.89	24.92
1ab4	47.2	27.89	24.92
4yb9	47.2	27.89	24.91
3pj3	47.2	27.89	24.92
7v1a	47.2	27.89	24.91
4ags	47.2	27.89	24.91
6fpf	47.2	27.88	24.91
7y7p	47.2	27.89	24.91
5w6f	47.19	27.89	24.92
2dgl	47.18	27.89	24.92
1jms	47.18	27.89	24.92
2vsg	47.18	27.89	24.92
2br9	47.18	27.89	24.92
5mfl	47.19	27.89	24.92
7zly	47.19	27.89	24.92
3lvs	47.19	27.89	24.92
6bav	47.2	27.89	24.92
4l38	47.2	27.89	24.91
4wsq	47.19	27.89	24.92
5mbd	47.19	27.89	24.92
6bao	47.19	27.89	24.92
6wjy	47.19	27.89	24.92
6e52	47.19	27.89	24.92
5gn8	47.19	27.89	24.92
6h5a	47.19	27.89	24.92
6gai	47.2	27.89	24.92
6z88	47.19	27.89	24.92
3k3n	47.19	27.89	24.92
3lcl	47.19	27.89	24.92
7r2t	47.19	27.89	24.92
8ftu	47.2	27.89	24.91
4uqz	47.2	27.89	24.92
2jj0	47.2	27.89	24.92
4gz5	47.19	27.89	24.92
8t95	47.19	27.89	24.92
2xaf	47.19	27.89	24.92
5jo7	47.2	27.89	24.91
2wrd	47.19	27.89	24.92
2ws3	47.19	27.89	24.92
7vio	47.19	27.89	24.92
1nt2	47.19	27.89	24.92
1jog	47.19	27.89	24.92
6j5e	47.2	27.89	24.92
6kk7	47.2	27.89	24.92
5kra	47.2	27.88	24.91
6rxa	47.2	27.88	24.91
7ex4	47.2	27.88	24.91
8uou	47.2	27.88	24.91
8f6s	47.2	27.88	24.91
5am6	47.2	27.88	24.92
5o5e	47.2	27.88	24.91
8byc	47.2	27.88	24.91
2xm2	47.2	27.88	24.92
6n7z	47.2	27.88	24.92
7obk	47.2	27.88	24.91
8bpw	47.2	27.88	24.92
8iw0	47.2	27.88	24.91
2jj3	47.2	27.88	24.91
2y8n	47.2	27.88	24.91
5ee9	47.2	27.88	24.92
5bs3	47.2	27.88	24.92
1qkn	47.2	27.88	24.92
6f08	47.21	27.88	24.91
6s75	47.2	27.88	24.91
4g9r	47.2	27.88	24.91
1yc9	47.2	27.88	24.91
3bum	47.2	27.88	24.91
3wvv	47.2	27.88	24.91
1wp8	47.2	27.88	24.91
7rn6	47.2	27.88	24.91
4jr3	47.2	27.88	24.91
8d0c	47.2	27.88	24.91
3a2a	47.2	27.88	24.91
7nzg	47.21	27.88	24.91
2gl7	47.21	27.88	24.91
5i20	47.22	27.88	24.91
1cei	47.22	27.88	24.91
4zog	47.22	27.88	24.91
3quj	47.22	27.88	24.91
4l01	47.21	27.88	24.91
6zpp	47.22	27.88	24.91
5a23	47.21	27.88	24.91
7run	47.21	27.88	24.91
4yl3	47.21	27.88	24.91
6aeh	47.21	27.88	24.91
2xm1	47.21	27.88	24.91
5u8g	47.21	27.88	24.91
7zcm	47.21	27.88	24.91
5j2c	47.21	27.88	24.91
6vnk	47.21	27.88	24.91
7dt2	47.21	27.88	24.91
5e18	47.2	27.89	24.92
5j08	47.2	27.89	24.92
4dyl	47.2	27.88	24.92
6rf7	47.2	27.88	24.92
5ael	47.2	27.88	24.91
7p17	47.2	27.88	24.92
6xoz	47.2	27.88	24.92
1ad3	47.2	27.88	24.92
6vld	47.2	27.88	24.92
3ajo	47.2	27.88	24.92
5jge	47.2	27.88	24.92
1e14	47.2	27.88	24.92
5u5p	47.2	27.88	24.92
7ad6	47.19	27.89	24.92
4g27	47.19	27.88	24.92
4pv0	47.19	27.88	24.92
4rxh	47.2	27.88	24.92
4bem	47.2	27.88	24.92
6qer	47.2	27.88	24.92
6g3h	47.21	27.88	24.92
4gfo	47.21	27.88	24.92
5x21	47.2	27.88	24.92
8slb	47.19	27.88	24.92
4amq	47.19	27.88	24.92
6c92	47.19	27.89	24.92
1omi	47.19	27.89	24.92
4pdx	47.19	27.89	24.93
2ddz	47.18	27.89	24.93
1e9v	47.18	27.89	24.93
5j0j	47.19	27.89	24.93
3s1i	47.19	27.89	24.93
5zkc	47.19	27.89	24.93
4n6h	47.19	27.89	24.92
4kab	47.19	27.89	24.92
3bfj	47.19	27.88	24.92
3lxn	47.19	27.89	24.92
6twv	47.18	27.89	24.93
3rc3	47.18	27.89	24.93
1sks	47.18	27.89	24.93
4lqv	47.18	27.89	24.93
6tpi	47.18	27.89	24.94
8rja	47.17	27.89	24.94
1rvz	47.15	27.9	24.95
3fpp	47.15	27.9	24.95
5gxw	47.15	27.9	24.95
1f5n	47.15	27.9	24.95
3e34	47.16	27.9	24.95
2vbn	47.16	27.9	24.95
8as1	47.16	27.9	24.95
4oqz	47.16	27.9	24.95
2wvr	47.16	27.9	24.95
5j8w	47.16	27.9	24.95
5h5k	47.16	27.9	24.95
2y39	47.16	27.9	24.95
7xrz	47.15	27.9	24.95
1zre	47.15	27.9	24.95
7o5d	47.15	27.9	24.95
4igg	47.16	27.89	24.95
6f03	47.16	27.89	24.94
2wx5	47.16	27.89	24.94
4dyq	47.16	27.89	24.94
6ghp	47.17	27.89	24.94
4wjg	47.17	27.89	24.94
3ehj	47.17	27.89	24.94
8cqq	47.17	27.89	24.94
6j6f	47.17	27.89	24.94
1f30	47.18	27.89	24.94
8kbf	47.18	27.89	24.94
5dba	47.18	27.89	24.94
4wnw	47.18	27.89	24.94
4zkx	47.18	27.88	24.94
1w99	47.18	27.88	24.94
6b3m	47.15	27.9	24.95
3fwe	47.15	27.9	24.95
1biq	47.15	27.9	24.95
4gby	47.15	27.9	24.95
5vew	47.16	27.9	24.95
2uxm	47.16	27.9	24.95
3vom	47.15	27.9	24.95
8qag	47.16	27.89	24.95
6rrc	47.16	27.89	24.95
4u72	47.16	27.89	24.95
1eb6	47.16	27.89	24.95
6k5s	47.16	27.89	24.95
7azv	47.16	27.89	24.94
3w3t	47.17	27.89	24.94
3dhi	47.17	27.89	24.94
2ong	47.17	27.89	24.94
3w3u	47.18	27.88	24.94
6vc5	47.18	27.88	24.94
8btl	47.18	27.88	24.94
4x5v	47.18	27.88	24.94
3sv3	47.18	27.88	24.94
2c0l	47.18	27.88	24.94
6lfl	47.18	27.88	24.94
4wfc	47.18	27.88	24.94
4fyn	47.18	27.88	24.94
2vde	47.18	27.88	24.94
3odm	47.19	27.88	24.93
3szr	47.19	27.88	24.93
3o2s	47.19	27.88	24.93
8qlf	47.19	27.88	24.93
3ed1	47.19	27.88	24.93
6euu	47.19	27.88	24.93
6mf5	47.19	27.88	24.93
5gz8	47.19	27.88	24.93
5lb4	47.19	27.88	24.93
7r2x	47.18	27.88	24.94
4jyx	47.19	27.88	24.93
6qph	47.19	27.88	24.93
8a2p	47.19	27.88	24.93
2gws	47.19	27.88	24.93
2vlb	47.19	27.88	24.93
6c1q	47.19	27.88	24.93
8icn	47.19	27.88	24.93
5xbj	47.19	27.88	24.93
5m27	47.19	27.88	24.93
4k4c	47.19	27.88	24.93
2e7s	47.21	27.87	24.92
3fku	47.19	27.88	24.94
4owi	47.19	27.88	24.94
6dv1	47.19	27.88	24.93
1t9j	47.19	27.88	24.93
4jgs	47.19	27.88	24.93
3la7	47.19	27.88	24.93
1sj7	47.19	27.88	24.93
7x9x	47.19	27.87	24.93
4jxy	47.2	27.87	24.93
3r6s	47.19	27.87	24.93
1or3	47.19	27.87	24.93
6h53	47.2	27.87	24.93
2z4x	47.2	27.87	24.93
3rd0	47.2	27.87	24.93
1kq7	47.2	27.87	24.93
5jwf	47.2	27.87	24.93
3eab	47.2	27.87	24.93
8v11	47.21	27.87	24.93
6y4l	47.21	27.87	24.93
6ixq	47.21	27.86	24.93
5b7v	47.21	27.87	24.93
6p84	47.2	27.87	24.93
6b3i	47.2	27.87	24.93
3fvh	47.2	27.87	24.93
4px6	47.2	27.87	24.93
6eqo	47.2	27.87	24.94
6wk9	47.19	27.87	24.94
2of4	47.19	27.87	24.94
6fzn	47.19	27.87	24.94
4apo	47.2	27.87	24.93
5dlq	47.2	27.87	24.93
2uxn	47.2	27.87	24.93
2r2l	47.2	27.87	24.93
7v54	47.2	27.87	24.93
5uhb	47.19	27.87	24.94
7bjf	47.19	27.87	24.93
2int	47.19	27.87	24.93
6c4z	47.2	27.87	24.93
5zlg	47.2	27.87	24.93
5w0v	47.21	27.86	24.93
3rd8	47.21	27.86	24.93
4us3	47.21	27.86	24.93
3q4o	47.21	27.86	24.93
4aqx	47.21	27.86	24.93
7o3l	47.21	27.86	24.93
6e42	47.21	27.86	24.93
6cfm	47.21	27.86	24.93
2rd0	47.21	27.86	24.93
6bv8	47.21	27.86	24.93
1pcg	47.21	27.86	24.93
2gfp	47.21	27.86	24.92
4ut1	47.21	27.86	24.92
4u7n	47.21	27.86	24.92
4c58	47.21	27.86	24.93
5uhf	47.2	27.87	24.93
6go6	47.2	27.87	24.93
4kly	47.21	27.86	24.93
2owo	47.21	27.86	24.93
5txx	47.21	27.86	24.93
5uz0	47.21	27.86	24.93
3utv	47.21	27.86	24.93
5jlj	47.21	27.86	24.93
5vrz	47.21	27.86	24.93
4iwb	47.21	27.86	24.93
2g04	47.2	27.87	24.93
5b6x	47.21	27.86	24.93
1pss	47.21	27.86	24.93
8a3x	47.21	27.86	24.93
6j7g	47.22	27.86	24.93
4niq	47.22	27.86	24.93
8b3b	47.22	27.86	24.93
1eyu	47.22	27.86	24.93
7ex3	47.22	27.86	24.93
2nyf	47.22	27.85	24.93
1kvk	47.22	27.86	24.93
7bmi	47.22	27.85	24.93
3rkh	47.21	27.86	24.93
5iik	47.21	27.86	24.93
6d06	47.21	27.86	24.93
5sds	47.21	27.86	24.93
4q4h	47.21	27.86	24.93
6yp2	47.21	27.86	24.93
3be2	47.21	27.86	24.93
8c40	47.21	27.86	24.93
5cu7	47.21	27.86	24.93
2inp	47.22	27.85	24.93
3nws	47.21	27.86	24.93
6nlr	47.21	27.86	24.93
7oqw	47.21	27.86	24.93
6a4u	47.22	27.85	24.93
3uo2	47.22	27.85	24.93
8gn0	47.22	27.85	24.93
7ybc	47.22	27.85	24.93
3vrr	47.22	27.85	24.93
5t1a	47.22	27.85	24.93
4evt	47.22	27.85	24.93
6cyf	47.21	27.86	24.93
1f4n	47.21	27.86	24.93
5kiv	47.21	27.86	24.93
3dcp	47.21	27.86	24.93
6gbp	47.22	27.85	24.93
3ha8	47.22	27.86	24.93
6npa	47.22	27.85	24.93
1u16	47.22	27.85	24.93
1tpy	47.22	27.85	24.93
2hwn	47.22	27.85	24.93
6lea	47.22	27.85	24.93
1zqf	47.22	27.85	24.93
7e0t	47.22	27.85	24.93
4lf6	47.22	27.86	24.93
6wbb	47.22	27.85	24.93
5d90	47.22	27.85	24.93
6zie	47.22	27.85	24.93
6u4z	47.22	27.85	24.93
3x0x	47.22	27.85	24.92
7o8p	47.22	27.85	24.92
4llh	47.23	27.85	24.92
8cqp	47.23	27.85	24.92
6efg	47.23	27.85	24.92
5nn1	47.23	27.85	24.92
8pww	47.23	27.85	24.92
7cga	47.22	27.85	24.92
7m75	47.22	27.85	24.92
5ica	47.23	27.85	24.92
8fs1	47.22	27.85	24.92
8rok	47.22	27.85	24.92
8bye	47.22	27.85	24.92
3d8a	47.23	27.85	24.92
3k7a	47.22	27.86	24.93
5eat	47.22	27.86	24.92
1pim	47.22	27.86	24.92
4akg	47.22	27.86	24.92
4rqf	47.22	27.86	24.92
4e29	47.22	27.86	24.92
6trh	47.22	27.86	24.92
1t6f	47.22	27.86	24.92
8f1h	47.22	27.86	24.92
8j0k	47.22	27.86	24.92
5lgt	47.22	27.86	24.92
2chc	47.22	27.86	24.92
5cwq	47.22	27.86	24.92
2d9q	47.22	27.86	24.92
8h7d	47.22	27.86	24.92
6fnj	47.22	27.86	24.92
4uj3	47.22	27.86	24.92
6tl3	47.22	27.86	24.92
6msr	47.22	27.86	24.92
2o8b	47.22	27.86	24.92
6qib	47.22	27.86	24.92
6fb0	47.22	27.86	24.92
6lij	47.22	27.86	24.92
6txm	47.22	27.86	24.92
7a4d	47.22	27.86	24.92
6v1v	47.21	27.86	24.93
2qla	47.21	27.86	24.93
5n7d	47.21	27.86	24.93
8bx3	47.21	27.86	24.93
6h97	47.21	27.86	24.93
3s1m	47.2	27.87	24.93
5f9d	47.2	27.87	24.93
1wnc	47.2	27.87	24.93
8bql	47.2	27.87	24.93
5fi1	47.2	27.87	24.93
6jx6	47.2	27.87	24.93
5apt	47.21	27.87	24.93
4cgb	47.21	27.86	24.93
3zdl	47.21	27.86	24.93
4r1v	47.21	27.86	24.93
8xup	47.21	27.86	24.93
6od3	47.21	27.86	24.93
4o5a	47.21	27.86	24.93
5i01	47.21	27.86	24.93
6hwv	47.21	27.86	24.93
3zrb	47.21	27.86	24.93
6hq8	47.21	27.86	24.93
4he8	47.22	27.85	24.92
5d5a	47.22	27.85	24.92
4h44	47.22	27.85	24.92
2jag	47.23	27.85	24.92
1ax8	47.23	27.85	24.92
7uaw	47.22	27.85	24.92
8wkz	47.23	27.85	24.92
8fit	47.23	27.85	24.92
5uv1	47.23	27.85	24.92
2ykp	47.23	27.85	24.92
3op5	47.23	27.85	24.92
4nrk	47.22	27.85	24.93
2z0v	47.22	27.85	24.93
4gbz	47.23	27.85	24.92
6c57	47.23	27.85	24.92
7yb8	47.23	27.85	24.92
6xyt	47.23	27.85	24.92
5fut	47.23	27.85	24.92
4ihg	47.22	27.85	24.93
4wlq	47.22	27.85	24.93
2b1i	47.22	27.85	24.93
5wnu	47.22	27.85	24.93
1ory	47.22	27.85	24.93
5t8l	47.22	27.85	24.93
5fzm	47.22	27.85	24.93
1a4i	47.21	27.85	24.93
6bs3	47.22	27.85	24.93
3how	47.2	27.86	24.94
5gnu	47.2	27.86	24.94
3grc	47.2	27.86	24.94
1w0k	47.2	27.86	24.94
7b41	47.2	27.86	24.94
1fnn	47.2	27.86	24.94
5ez8	47.2	27.86	24.94
6kqn	47.19	27.87	24.94
1vjx	47.19	27.87	24.94
4mex	47.18	27.87	24.95
6gh2	47.17	27.88	24.95
1ca1	47.17	27.88	24.95
3ihv	47.17	27.88	24.95
9ico	47.17	27.88	24.95
2x0y	47.17	27.88	24.95
3zrv	47.17	27.88	24.95
1w5i	47.17	27.88	24.95
2hzn	47.17	27.88	24.95
2jj2	47.16	27.88	24.96
6vdd	47.16	27.88	24.96
5jg4	47.16	27.88	24.96
7ep3	47.16	27.88	24.95
3tud	47.16	27.88	24.95
6mwe	47.16	27.88	24.96
7oqa	47.16	27.88	24.96
1xou	47.16	27.88	24.96
2f7n	47.16	27.88	24.95
1nkc	47.16	27.88	24.96
7o69	47.16	27.88	24.95
2xa7	47.17	27.88	24.95
2gif	47.17	27.88	24.95
6yxf	47.17	27.88	24.95
